,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
2302,315,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2303,460,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2304,460,10,2,1,13,61.53846153846154,0.0,0.0,38.46153846153847,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2305,460,10,3,1,74,18.918918918918926,0.0,0.0,81.08108108108108,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2306,460,10,4,1,135,0.0,0.0,0.0,100.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2307,460,10,5,1,33,0.0,0.0,0.0,100.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2308,460,10,6,1,182,1.7647058823529416,0.0,1.1764705882352946,97.05882352941177,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2309,460,10,7,1,47,0.0,0.0,0.0,100.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2310,402,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2311,402,10,2,1,58,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2312,402,10,3,1,551,23.5934664246824,0.0,0.3629764065335753,76.04355716878402,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2313,402,10,4,1,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2314,402,10,5,1,86,33.72093023255814,0.0,1.162790697674419,65.11627906976744,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2315,402,10,6,1,202,36.22448979591837,17.346938775510207,0.0,46.42857142857142,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2316,402,10,7,1,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2317,172,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2318,172,10,2,0,320,0.9404388714733541,0.0,0.0,99.05956112852664,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2319,172,10,3,0,41,2.4999999999999996,0.0,2.4999999999999996,95.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2320,172,10,4,0,22,50.0,0.0,9.090909090909092,40.90909090909091,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2321,172,10,5,0,11,45.45454545454546,0.0,27.272727272727277,27.272727272727277,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2322,172,10,6,0,111,0.0,0.0,15.315315315315312,84.68468468468468,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2323,172,10,7,0,61,1.639344262295082,0.0,0.0,98.36065573770492,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2324,167,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2325,167,10,2,0,429,6.807511737089201,3.051643192488263,0.0,90.14084507042253,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2326,167,10,3,0,41,2.439024390243903,0.0,0.0,97.56097560975611,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2327,167,10,4,0,44,9.090909090909092,0.0,0.0,90.9090909090909,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2328,167,10,5,0,122,32.231404958677686,6.6115702479338845,0.0,61.15702479338843,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2329,167,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2330,167,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2331,282,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2332,282,10,2,0,41,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2333,282,10,3,0,1,0.0,0.0,0.0,100.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2334,282,10,4,0,136,7.352941176470588,0.0,0.0,92.6470588235294,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2335,282,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2336,282,10,6,0,99,77.77777777777779,0.0,0.0,22.222222222222207,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2337,282,10,7,0,158,50.63291139240506,0.0,0.0,49.36708860759494,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2338,367,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2339,367,10,2,1,160,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2340,367,10,3,1,235,24.255319148936167,4.680851063829786,0.0,71.06382978723404,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2341,367,10,4,1,160,15.0,0.0,0.0,85.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2342,367,10,5,1,682,15.689149560117302,0.0,7.771260997067449,76.53958944281524,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2343,367,10,6,1,2,0.0,0.0,0.0,100.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2344,367,10,7,1,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2345,293,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2346,293,10,2,1,344,8.13953488372093,0.0,0.0,91.86046511627907,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2347,293,10,3,1,342,45.614035087719294,0.0,0.0,54.38596491228071,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2348,293,10,4,1,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2349,293,10,5,1,529,50.661625708884685,0.0,0.1890359168241966,49.14933837429111,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2350,293,10,6,1,191,57.59162303664922,0.0,0.0,42.40837696335078,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2351,293,10,7,1,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2352,5,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2353,5,10,2,0,761,2.1067415730337076,2.387640449438202,0.0,95.50561797752809,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
