,user,points,state,vaccination_time,wave_no,decision,extraversion
48,429,90,V,2014-10-06 14:30:00,5,1,3.5
49,347,61,V,2014-10-07 16:30:00,5,1,3.375
50,156,100,S,None,5,0,4.25
51,30,100,S,None,5,0,3.3277
52,224,90,V,2014-10-06 15:10:00,5,1,2.125
53,19,100,S,None,5,0,2.875
54,301,100,S,None,5,0,3.0
55,437,90,V,2014-10-06 14:20:00,5,1,2.875
56,244,90,V,2014-10-07 01:55:00,5,1,3.875
57,449,100,S,None,5,0,2.5
58,470,85,V,2014-10-06 17:15:00,5,1,3.375
59,305,100,S,None,5,0,2.25
60,147,100,S,None,5,0,3.125
61,225,100,S,None,5,0,2.75
62,359,90,V,2014-10-06 16:00:00,5,1,2.375
63,188,100,S,None,5,0,2.5
64,136,90,V,2014-10-06 14:10:00,5,1,3.625
65,336,100,S,None,5,0,3.3277
66,56,100,S,None,5,0,3.375
67,205,100,S,None,5,0,3.875
68,130,90,V,2014-10-06 15:20:00,5,1,3.125
69,60,90,V,2014-10-06 14:10:00,5,1,2.5
70,21,100,S,None,5,0,3.5
71,320,90,V,2014-10-06 17:45:00,5,1,3.25
72,462,100,S,None,5,0,3.875
73,229,100,S,None,5,0,3.25
74,448,100,S,None,5,0,3.0
75,375,100,S,None,5,0,3.125
76,223,100,S,None,5,0,3.25
77,234,100,S,None,5,0,3.3277
78,420,90,V,2014-10-06 16:15:00,5,1,3.375
79,206,100,S,None,5,0,3.625
80,253,63,V,2014-10-07 16:45:00,5,1,4.0
81,116,81,V,2014-10-06 14:35:00,5,1,2.75
82,240,100,S,None,5,0,3.3277
83,408,100,S,None,5,0,3.0
84,95,100,S,None,5,0,3.5
85,6,100,S,None,5,0,2.75
86,112,100,S,None,5,0,3.3277
87,236,90,V,2014-10-06 14:15:00,5,1,3.625
88,140,100,S,None,5,0,2.5
89,215,100,S,None,5,0,3.3277
90,49,90,V,2014-10-06 14:10:00,5,1,4.125
91,11,100,S,None,5,0,3.75
92,111,56,V,2014-10-06 14:05:00,5,1,2.75
93,86,90,V,2014-10-06 21:10:00,5,1,3.125
94,122,100,S,None,5,0,2.5
95,456,100,S,None,5,0,3.3277
96,63,81,V,2014-10-06 14:20:00,5,1,3.125
97,490,100,S,None,5,0,2.75
98,346,51,V,2014-10-10 19:25:00,5,1,2.5
99,407,90,V,2014-10-06 16:00:00,5,1,3.25
100,419,100,S,None,5,0,4.125
101,194,100,S,None,5,0,3.3277
102,403,90,V,2014-10-06 18:25:00,5,1,4.25
103,457,68,V,2014-10-06 14:10:00,5,1,3.125
104,165,100,S,None,5,0,3.0
105,268,100,S,None,5,0,3.3277
106,41,90,V,2014-10-06 14:10:00,5,1,3.875
107,90,90,V,2014-10-06 14:15:00,5,1,3.125
108,71,90,V,2014-10-06 14:10:00,5,1,4.0
109,351,75,V,2014-10-06 14:40:00,5,1,4.0
110,96,100,S,None,5,0,3.25
111,40,100,S,None,5,0,3.3277
112,322,100,S,None,5,0,2.25
113,102,100,S,None,5,0,3.3277
114,74,100,S,None,5,0,3.0
115,175,100,S,None,5,0,4.0
116,239,100,S,None,5,0,3.75
117,17,100,S,None,5,0,3.5
118,126,90,V,2014-10-06 16:45:00,5,1,3.5
119,170,90,V,2014-10-06 15:15:00,5,1,3.875
120,492,90,V,2014-10-06 14:45:00,5,1,3.0
121,313,90,V,2014-10-06 16:55:00,5,1,3.125
122,241,100,S,None,5,0,3.625
123,459,100,S,None,5,0,3.375
124,171,100,S,None,5,0,1.875
125,370,100,S,None,5,0,2.375
126,125,90,V,2014-10-10 17:00:00,5,1,3.75
127,37,58,V,2014-10-06 15:10:00,5,1,2.25
128,310,100,S,None,5,0,3.375
129,387,100,S,None,5,0,2.5
130,444,58,V,2014-10-12 16:25:00,5,1,4.0
131,330,100,S,None,5,0,3.5
132,79,100,S,None,5,0,3.0
133,254,100,S,None,5,0,2.75
134,1,100,S,None,5,0,3.125
135,138,100,S,None,5,0,3.3277
136,423,100,S,None,5,0,2.5
137,318,90,V,2014-10-07 14:45:00,5,1,3.75
138,365,100,S,None,5,0,4.625
139,18,90,V,2014-10-06 16:30:00,5,1,3.75
140,411,100,S,None,5,0,3.3277
141,489,100,S,None,5,0,3.625
142,164,100,S,None,5,0,3.75
143,89,90,V,2014-10-06 19:10:00,5,1,2.25
144,114,100,S,None,5,0,3.75
145,368,90,V,2014-10-06 16:20:00,5,1,3.3277
146,200,100,S,None,5,0,2.375
147,458,90,V,2014-10-06 14:10:00,5,1,3.0
148,181,90,V,2014-10-07 17:05:00,5,1,4.0
149,192,100,S,None,5,0,3.875
150,182,100,S,None,5,0,3.5
151,450,100,S,None,5,0,3.5
152,193,100,S,None,5,0,3.25
153,266,100,S,None,5,0,3.3277
154,471,90,V,2014-10-07 21:25:00,5,1,3.5
155,157,65,V,2014-10-06 15:10:00,5,1,4.875
156,68,100,S,None,5,0,3.3277
157,76,68,V,2014-10-09 14:10:00,5,1,3.3277
158,106,100,S,None,5,0,3.3277
159,146,90,V,2014-10-08 00:25:00,5,1,2.25
160,400,90,V,2014-10-06 15:05:00,5,1,3.75
161,294,100,S,None,5,0,4.375
162,143,64,V,2014-10-06 15:05:00,5,1,2.0
163,467,100,S,None,5,0,2.75
164,303,100,S,None,5,0,4.375
165,242,100,S,None,5,0,3.875
166,361,100,S,None,5,0,4.625
167,374,100,S,None,5,0,1.625
168,202,100,S,None,5,0,3.375
169,149,53,V,2014-10-06 14:25:00,5,1,2.5
170,238,90,V,2014-10-06 21:10:00,5,1,4.875
171,485,57,V,2014-10-06 17:45:00,5,1,2.875
172,265,100,S,None,5,0,4.125
173,123,100,S,None,5,0,2.375
174,428,100,S,None,5,0,3.3277
175,59,100,S,None,5,0,3.125
176,131,100,S,None,5,0,4.0
177,153,90,V,2014-10-06 14:10:00,5,1,2.75
178,415,100,S,None,5,0,3.75
179,334,100,S,None,5,0,1.875
180,274,100,S,None,5,0,3.5
181,62,100,S,None,5,0,3.3277
182,179,100,S,None,5,0,3.625
183,373,100,S,None,5,0,4.625
184,463,60,V,2014-10-06 16:00:00,5,1,3.625
185,85,100,S,None,5,0,2.75
186,356,50,V,2014-10-06 14:10:00,5,1,4.0
187,475,100,S,None,5,0,4.375
188,141,100,S,None,5,0,3.375
189,184,54,V,2014-10-07 14:10:00,5,1,3.0
190,81,90,V,2014-10-06 14:10:00,5,1,2.625
191,217,100,S,None,5,0,3.3277
192,371,100,S,None,5,0,3.0
193,422,100,S,None,5,0,3.3277
194,233,100,S,None,5,0,3.375
195,26,100,S,None,5,0,3.5
196,113,90,V,2014-10-06 14:10:00,5,1,3.625
197,58,100,S,None,5,0,2.625
198,392,54,V,2014-10-06 16:15:00,5,1,2.875
199,317,68,V,2014-10-06 21:00:00,5,1,3.625
200,161,100,S,None,5,0,3.3277
201,77,100,S,None,5,0,2.5
202,399,90,V,2014-10-06 14:35:00,5,1,4.0
203,251,90,V,2014-10-06 14:30:00,5,1,2.375
204,319,100,S,None,5,0,3.75
205,252,90,V,2014-10-06 14:15:00,5,1,2.75
206,366,90,V,2014-10-06 18:15:00,5,1,3.375
207,69,90,V,2014-10-06 21:35:00,5,1,4.25
208,216,90,V,2014-10-11 00:10:00,5,1,3.625
209,493,90,V,2014-10-06 14:10:00,5,1,2.375
210,298,90,V,2014-10-06 16:00:00,5,1,2.875
211,132,90,V,2014-10-06 14:15:00,5,1,3.625
212,44,100,S,None,5,0,3.3277
213,259,100,S,None,5,0,3.0
214,176,90,V,2014-10-06 14:10:00,5,1,3.625
215,163,100,S,None,5,0,4.75
216,357,100,S,None,5,0,2.625
217,405,90,V,2014-10-06 18:00:00,5,1,3.3277
218,412,90,V,2014-10-10 14:35:00,5,1,3.3277
219,258,100,S,None,5,0,2.75
220,232,100,S,None,5,0,4.5
221,12,100,S,None,5,0,3.625
222,54,100,S,None,5,0,3.3277
