,user,points,state,timestamp,vaccination_time,wave_no,decision
238,391,53,R,2014-09-15 07:52:08,,1,0
239,204,100,S,2014-09-15 07:53:48,,1,0
240,232,59,V,2014-09-15 07:45:43,2014-09-08 15:20:00,1,1
241,247,66,V,2014-09-15 07:51:30,2014-09-08 14:10:00,1,1
242,472,100,S,2014-09-15 07:51:07,,1,0
243,379,90,V,2014-09-15 07:52:10,2014-09-11 18:40:00,1,1
244,94,100,S,2014-09-15 07:54:27,,1,0
245,195,41,R,2014-09-15 07:52:19,,1,0
246,410,64,R,2014-09-15 07:53:28,,1,0
247,164,90,V,2014-09-15 07:51:45,2014-09-08 14:45:00,1,1
248,42,90,V,2014-09-15 07:51:25,2014-09-08 15:05:00,1,1
249,375,100,S,2014-09-15 07:50:13,,1,0
250,12,45,R,2014-09-15 07:54:39,,1,0
251,61,90,V,2014-09-15 07:51:18,2014-09-08 14:30:00,1,1
252,470,49,R,2014-09-15 07:52:57,,1,0
253,2,90,V,2014-09-15 07:53:44,2014-09-08 15:45:00,1,1
254,258,44,R,2014-09-15 07:52:41,,1,0
255,402,43,R,2014-09-15 07:50:52,,1,0
256,132,90,V,2014-09-15 07:51:21,2014-09-08 17:25:00,1,1
257,174,51,V,2014-09-15 07:50:51,2014-09-08 14:10:00,1,1
258,47,100,S,2014-09-15 07:53:59,,1,0
259,53,48,R,2014-09-15 07:51:45,,1,0
260,168,100,S,2014-09-15 07:53:57,,1,0
261,416,90,V,2014-09-15 07:53:28,2014-09-08 14:15:00,1,1
262,376,100,S,2014-09-15 07:53:28,,1,0
263,69,62,V,2014-09-15 07:53:03,2014-09-08 14:50:00,1,1
264,248,89,V,2014-09-15 07:50:02,2014-09-08 14:35:00,1,1
265,83,90,V,2014-09-15 07:52:56,2014-09-08 14:10:00,1,1
266,110,100,S,2014-09-15 07:52:27,,1,0
267,302,50,R,2014-09-15 07:50:12,,1,0
268,182,62,R,2014-09-15 07:52:42,,1,0
269,151,100,S,2014-09-15 07:50:18,,1,0
270,244,45,R,2014-09-15 07:50:03,,1,0
271,39,52,R,2014-09-15 07:51:12,,1,0
272,98,49,R,2014-09-15 07:51:25,,1,0
273,109,100,S,2014-09-15 07:50:18,,1,0
274,286,90,V,2014-09-15 07:52:49,2014-09-08 14:10:00,1,1
275,60,27,R,2014-09-15 07:51:09,,1,0
276,435,90,V,2014-09-15 07:54:46,2014-09-08 17:10:00,1,1
277,359,66,R,2014-09-15 07:51:51,,1,0
278,285,90,V,2014-09-15 07:52:25,2014-09-09 00:30:00,1,1
279,314,58,V,2014-09-15 07:53:08,2014-09-08 14:50:00,1,1
280,19,69,R,2014-09-15 07:51:53,,1,0
281,261,90,V,2014-09-15 07:51:30,2014-09-08 14:10:00,1,1
282,361,90,V,2014-09-15 07:54:44,2014-09-08 23:55:00,1,1
283,170,90,V,2014-09-15 07:52:52,2014-09-08 19:15:00,1,1
284,118,90,V,2014-09-15 07:50:21,2014-09-08 14:10:00,1,1
285,23,90,V,2014-09-15 07:54:39,2014-09-08 16:10:00,1,1
286,30,100,S,2014-09-15 07:52:11,,1,0
287,102,100,S,2014-09-15 07:52:29,,1,0
288,412,100,S,2014-09-15 07:54:24,,1,0
289,340,100,S,2014-09-15 07:54:12,,1,0
290,237,56,R,2014-09-15 07:52:31,,1,0
291,75,90,V,2014-09-15 07:50:42,2014-09-08 15:35:00,1,1
292,101,100,S,2014-09-15 07:51:18,,1,0
293,298,90,V,2014-09-15 07:52:14,2014-09-08 16:10:00,1,1
294,325,90,V,2014-09-15 07:53:52,2014-09-09 15:50:00,1,1
295,267,44,R,2014-09-15 07:53:04,,1,0
296,265,90,V,2014-09-15 07:53:51,2014-09-08 16:10:00,1,1
297,305,44,R,2014-09-15 07:53:32,,1,0
298,467,90,V,2014-09-15 07:51:11,2014-09-08 16:30:00,1,1
299,56,65,R,2014-09-15 07:51:52,,1,0
300,143,42,R,2014-09-15 07:51:42,,1,0
301,293,90,V,2014-09-15 07:52:27,2014-09-08 14:15:00,1,1
302,124,90,V,2014-09-15 07:53:53,2014-09-08 14:55:00,1,1
303,150,100,S,2014-09-15 07:53:15,,1,0
304,446,90,V,2014-09-15 07:51:18,2014-09-08 15:00:00,1,1
305,80,90,V,2014-09-15 07:54:05,2014-09-08 14:10:00,1,1
306,457,57,R,2014-09-15 07:54:45,,1,0
307,493,90,V,2014-09-15 07:28:47,2014-09-08 20:00:00,1,1
308,288,93,R,2014-09-15 07:52:32,,1,0
309,395,90,V,2014-09-15 07:51:26,2014-09-08 15:00:00,1,1
310,221,100,S,2014-09-15 07:53:36,,1,0
311,458,52,R,2014-09-15 07:52:19,,1,0
312,415,100,S,2014-09-15 07:52:42,,1,0
313,4,61,R,2014-09-15 07:51:50,,1,0
314,452,90,V,2014-09-15 07:40:50,2014-09-08 22:55:00,1,1
315,141,55,R,2014-09-15 07:51:43,,1,0
316,483,90,V,2014-09-15 04:47:03,2014-09-08 15:10:00,1,1
317,81,90,V,2014-09-15 07:51:07,2014-09-08 14:20:00,1,1
318,189,100,S,2014-09-15 07:52:19,,1,0
319,335,100,S,2014-09-15 07:53:02,,1,0
320,374,60,R,2014-09-15 07:52:21,,1,0
321,85,90,V,2014-09-15 07:52:08,2014-09-08 16:00:00,1,1
322,259,66,R,2014-09-15 05:07:18,,1,0
323,71,67,V,2014-09-15 07:52:03,2014-09-08 14:10:00,1,1
324,205,100,S,2014-09-15 07:53:02,,1,0
325,290,100,S,2014-09-15 07:53:56,,1,0
326,220,100,S,2014-09-15 07:54:30,,1,0
327,297,51,R,2014-09-15 07:52:53,,1,0
328,466,12,V,2014-09-15 07:50:23,2014-09-08 14:10:00,1,1
329,11,65,R,2014-09-15 07:52:44,,1,0
330,292,79,V,2014-09-15 07:50:32,2014-09-08 14:10:00,1,1
331,191,39,R,2014-09-15 07:52:27,,1,0
332,454,100,S,2014-09-15 07:50:11,,1,0
333,78,100,S,2014-09-15 07:55:00,,1,0
334,411,44,R,2014-09-15 07:53:25,,1,0
335,384,90,V,2014-09-15 07:53:14,2014-09-08 22:40:00,1,1
336,201,90,V,2014-09-15 07:51:39,2014-09-08 20:15:00,1,1
337,226,50,R,2014-09-15 07:51:04,,1,0
338,97,65,R,2014-09-15 07:53:24,,1,0
339,140,46,R,2014-09-15 07:51:21,,1,0
340,269,36,R,2014-09-15 07:53:26,,1,0
341,459,58,R,2014-09-15 07:51:47,,1,0
342,111,90,V,2014-09-15 07:51:50,2014-09-08 14:20:00,1,1
343,122,73,R,2014-09-15 05:25:36,,1,0
344,29,38,R,2014-09-15 07:51:17,,1,0
345,14,90,V,2014-09-15 07:54:34,2014-09-08 20:00:00,1,1
346,403,90,V,2014-09-15 07:51:02,2014-09-08 18:55:00,1,1
347,436,63,V,2014-09-15 07:52:07,2014-09-08 14:15:00,1,1
348,91,78,V,2014-09-15 07:52:30,2014-09-08 14:10:00,1,1
349,100,100,S,2014-09-15 07:52:18,,1,0
350,270,64,R,2014-09-15 07:53:14,,1,0
351,95,41,R,2014-09-15 07:53:34,,1,0
352,445,62,V,2014-09-15 07:53:06,2014-09-08 14:30:00,1,1
353,401,46,R,2014-09-15 07:50:52,,1,0
354,275,90,V,2014-09-15 07:50:21,2014-09-08 19:15:00,1,1
355,126,100,S,2014-09-15 07:52:35,,1,0
356,194,100,S,2014-09-15 07:50:06,,1,0
357,478,86,R,2014-09-15 07:54:32,,1,0
358,324,100,S,2014-09-15 07:50:22,,1,0
359,346,44,R,2014-09-15 07:54:09,,1,0
360,180,85,V,2014-09-15 07:50:11,2014-09-08 14:20:00,1,1
361,233,100,S,2014-09-15 07:52:22,,1,0
362,262,49,R,2014-09-15 07:53:17,,1,0
363,227,40,R,2014-09-15 07:53:16,,1,0
364,465,90,V,2014-09-15 07:53:28,2014-09-08 14:20:00,1,1
365,404,100,S,2014-09-15 07:51:45,,1,0
366,31,55,R,2014-09-15 07:51:14,,1,0
367,87,90,V,2014-09-15 07:50:23,2014-09-08 18:00:00,1,1
368,120,75,V,2014-09-15 07:50:06,2014-09-08 15:10:00,1,1
369,123,60,R,2014-09-15 07:52:41,,1,0
370,157,100,S,2014-09-15 07:54:53,,1,0
371,114,90,V,2014-09-15 07:53:48,2014-09-08 14:15:00,1,1
372,490,100,S,2014-09-15 07:53:41,,1,0
373,330,57,V,2014-09-15 07:50:15,2014-09-09 15:25:00,1,1
374,294,48,R,2014-09-15 07:51:09,,1,0
375,50,100,S,2014-09-15 07:50:08,,1,0
376,356,90,V,2014-09-15 07:51:06,2014-09-08 14:10:00,1,1
377,249,90,V,2014-09-15 07:51:22,2014-09-08 15:50:00,1,1
378,380,100,S,2014-09-15 07:53:48,,1,0
379,371,61,V,2014-09-15 07:52:37,2014-09-15 00:05:00,1,1
380,171,100,S,2014-09-15 07:50:24,,1,0
381,263,41,R,2014-09-15 07:53:21,,1,0
382,79,90,V,2014-09-15 07:53:46,2014-09-08 14:30:00,1,1
383,225,61,V,2014-09-15 07:52:43,2014-09-08 16:55:00,1,1
384,419,45,R,2014-09-15 07:53:49,,1,0
385,274,90,V,2014-09-15 07:53:49,2014-09-10 20:50:00,1,1
386,396,30,R,2014-09-15 07:54:49,,1,0
387,207,90,V,2014-09-22 07:52:27,2014-09-15 16:10:00,2,1
388,390,100,S,2014-09-22 07:53:17,,2,0
389,392,100,S,2014-09-22 07:53:57,,2,0
390,357,58,V,2014-09-22 07:54:39,2014-09-15 14:25:00,2,1
391,148,90,V,2014-09-22 07:53:16,2014-09-15 14:15:00,2,1
392,427,90,R,2014-09-22 07:53:06,,2,0
393,70,60,V,2014-09-22 07:53:10,2014-09-15 16:10:00,2,1
394,106,100,S,2014-09-22 07:53:28,,2,0
395,166,57,R,2014-09-22 07:52:16,,2,0
396,133,90,V,2014-09-22 07:53:24,2014-09-16 00:15:00,2,1
397,184,52,R,2014-09-22 07:53:41,,2,0
398,131,57,R,2014-09-22 07:51:18,,2,0
399,370,54,V,2014-09-22 07:51:02,2014-09-15 14:25:00,2,1
400,251,90,V,2014-09-22 07:50:31,2014-09-15 14:15:00,2,1
401,383,100,S,2014-09-22 07:50:11,,2,0
402,272,100,S,2014-09-22 07:53:47,,2,0
403,329,90,V,2014-09-22 07:53:21,2014-09-16 01:45:00,2,1
404,21,100,S,2014-09-22 07:50:29,,2,0
405,417,90,V,2014-09-22 07:54:54,2014-09-15 14:15:00,2,1
406,32,90,V,2014-09-22 07:52:04,2014-09-15 14:30:00,2,1
407,26,90,V,2014-09-22 07:52:30,2014-09-15 15:55:00,2,1
